ÍøÂçºÅ                      Ö÷»úÑÚÂë    ÍøÂçÑÚÂë
network-number             host-bits    netmask
-------------------- ---------------    ---------------
1.51.0.0                 0.0.255.255    255.255.0.0         
1.184.0.0                0.1.255.255    255.254.0.0         
42.244.0.0               0.3.255.255    255.252.0.0         
49.52.0.0                0.3.255.255    255.252.0.0         
49.120.0.0               0.3.255.255    255.252.0.0         
49.140.0.0               0.1.255.255    255.254.0.0         
49.208.0.0               0.1.255.255    255.254.0.0         
58.17.0.0                0.0.255.255    255.255.0.0         
58.24.0.0                0.1.255.255    255.254.0.0         
58.154.0.0               0.1.255.255    255.254.0.0         
58.192.0.0              0.15.255.255    255.240.0.0         
58.240.0.0               0.1.255.255    255.254.0.0         
59.32.0.0               0.15.255.255    255.240.0.0         
59.64.0.0               0.15.255.255    255.240.0.0         
60.0.0.0                0.31.255.255    255.224.0.0         
60.63.0.0                0.0.255.255    255.255.0.0         
61.28.0.0                 0.0.15.255    255.255.240.0       
61.48.0.0                0.7.255.255    255.248.0.0         
61.128.0.0              0.63.255.255    255.192.0.0         
61.232.0.0               0.3.255.255    255.252.0.0         
61.236.0.0               0.1.255.255    255.254.0.0         
61.240.0.0               0.3.255.255    255.252.0.0         
101.4.0.0                0.3.255.255    255.252.0.0         
101.76.0.0               0.1.255.255    255.254.0.0         
110.64.0.0               0.1.255.255    255.254.0.0         
111.114.0.0              0.1.255.255    255.254.0.0         
111.116.0.0              0.1.255.255    255.254.0.0         
111.186.0.0              0.1.255.255    255.254.0.0         
113.54.0.0               0.1.255.255    255.254.0.0         
114.212.0.0              0.1.255.255    255.254.0.0         
114.214.0.0              0.0.255.255    255.255.0.0         
115.24.0.0               0.3.255.255    255.252.0.0         
115.154.0.0              0.1.255.255    255.254.0.0         
115.156.0.0              0.1.255.255    255.254.0.0         
115.158.0.0              0.0.255.255    255.255.0.0         
116.13.0.0               0.0.255.255    255.255.0.0         
116.56.0.0               0.1.255.255    255.254.0.0         
118.202.0.0              0.1.255.255    255.254.0.0         
118.228.0.0              0.1.255.255    255.254.0.0         
118.230.0.0              0.0.255.255    255.255.0.0         
120.94.0.0               0.1.255.255    255.254.0.0         
121.48.0.0               0.1.255.255    255.254.0.0         
121.52.160.0              0.0.31.255    255.255.224.0       
121.192.0.0              0.3.255.255    255.252.0.0         
121.248.0.0              0.3.255.255    255.252.0.0         
122.204.0.0              0.3.255.255    255.252.0.0         
125.216.0.0              0.7.255.255    255.248.0.0         
137.189.0.0              0.0.255.255    255.255.0.0         
140.113.0.0              0.0.255.255    255.255.0.0         
143.89.0.0               0.0.255.255    255.255.0.0         
144.214.0.0              0.0.255.255    255.255.0.0         
147.8.0.0                0.0.255.255    255.255.0.0         
152.101.0.0              0.0.255.255    255.255.0.0         
152.104.0.0              0.0.255.255    255.255.0.0         
158.132.0.0              0.0.255.255    255.255.0.0         
158.182.0.0              0.0.255.255    255.255.0.0         
159.226.0.0              0.0.255.255    255.255.0.0         
